study_id,condition,stimulus_text,source,study_context,flags
Campbell1308,Control,,llm_prompts,This survey will ask questions on a variety of subjects including women in politics and Twitter.,
Campbell1308,Democratic story,"Please read the following news story closely. When you are done, we will ask you about it.

A Big Year For Democratic Women in the 2020 Elections

The 2020 elections saw a surge of Democratic women who ran for offices at all levels, whether in Washington, state capitols, or city halls. Across the country, many of these women candidates ran to bring new voices to politics. For example, Charlene Washington, a newly-elected Democratic member of the House of Representatives in Georgia, ran TV ads in which her tagline was “As a woman, I will bring a fresh perspective to Washington.” Amy Johnson, a Democrat who won a House race in Michigan, said in her acceptance speech that “Women like me will get to work and make a difference for our communities and the rest of the nation.” 2020 was a banner year for Democratic women candidates. Maria Gonzalez, a scholar who has written extensively about American politics notes that “this is a new era for women in government. Over the last few years, we have seen historic numbers of women running for office—and winning.”

“Women like me will get to work and make a difference for our communities and the rest of the nation.”
Charlene Washington
Newly-elected Democratic member of Congress

Three Democratic candidates running for seats in Congress, joining a national surge of women candidates across the country.",llm_prompts,This survey will ask questions on a variety of subjects including women in politics and Twitter.,
Campbell1308,Non-Partisan story,"Please read the following news story closely. When you are done, we will ask you about it.

A Big Year For Both Democratic and Republican Women in the 2020 Elections

 The 2020 elections saw a surge of Democratic and Republican women who ran for offices at all levels, whether in Washington, state capitols, or city halls. Across the country, many of these women candidates ran to bring new voices to politics. For example, Charlene Washington, a newly-elected member of the House of Representatives in Georgia, ran TV ads in which her tagline was “As a woman, I will bring a fresh perspective to Washington.” Amy Johnson, who won a House race in Michigan, said in her acceptance speech that “Women like me will get to work and make a difference for our communities and the rest of the nation.” 2020 was a banner year for women candidates of both parties. Maria Gonzalez, a scholar who has written extensively about American politics notes that “this is a new era for women in government. Over the last few years, we have seen historic numbers of women running for office—and winning.”

“Women like me will get to work and make a difference for our communities and the rest of the nation.”
Charlene Washington
Newly-elected member of Congress

Three candidates running for seats in Congress, joining a national surge of women candidates across the country.",llm_prompts,This survey will ask questions on a variety of subjects including women in politics and Twitter.,
Campbell1308,Republican story,"Please read the following news story closely. When you are done, we will ask you about it.

A Big Year For Republican Women in the 2020 Elections

The 2020 elections saw a surge of Republican women who ran for offices at all levels, whether in Washington, state capitols, or city halls. Across the country, many of these women candidates ran to bring new voices to politics. For example, Charlene Washington, a newly-elected Republican member of the House of Representatives in Georgia, ran TV ads in which her tagline was “As a woman, I will bring a fresh perspective to Washington.” Amy Johnson, a Republican who won a House race in Michigan, said in her acceptance speech that “Women like me will get to work and make a difference for our communities and the rest of the nation.” 2020 was a banner year for Republican women candidates. Maria Gonzalez, a scholar who has written extensively about American politics notes that “this is a new era for women in government. Over the last few years, we have seen historic numbers of women running for office—and winning.”

“Women like me will get to work and make a difference for our communities and the rest of the nation.”
Charlene Washington
Newly-elected Republican member of Congress

Three Republican candidates running for seats in Congress, joining a national surge of women candidates across the country.",llm_prompts,This survey will ask questions on a variety of subjects including women in politics and Twitter.,
Connors1226,Control,,llm_prompts,"Next, we’d like to get your feelings toward the two national parties.",
Connors1226,Friends Reminder,Imagine your friends will read your responses to the following questions.,llm_prompts,"Next, we’d like to get your feelings toward the two national parties.",
Connors1226,Private Reminder,"Just a reminder, your responses are completely private.",llm_prompts,"Next, we’d like to get your feelings toward the two national parties.",
Connors1226,Published Reminder,"Just a reminder, the results based on your responses may be published.",llm_prompts,"Next, we’d like to get your feelings toward the two national parties.",
FarrowS6,Condition 1 disappointment,"You live in an apartment where you enjoy a superb view of a green park. Due to a new development project, your view will soon be obstructed by a roadway structure and you will no longer be able to see the park.",llm_prompts,Please imagine the following scenario,
FarrowS6,Condition 2 disappointment,"You live in an apartment where you enjoy a superb view of a green park. Due to a new development project, your view will soon be obstructed by a roadway structure and you will no longer be able to see the park. For your information, 85% of the residents of your apartment building will also lose their view of the park.",llm_prompts,Please imagine the following scenario,
