"study","condition.name","outcome.name","variant","variant_n_prompts","page_idx","page_text"
"AnsonBRIEF60","Treatment group 1","economy_positivity",1,56,1,"> We’ll ask you about a variety of topics in this survey.
> In a moment, we’d like you to read a short news article. Please indicate which of the following you would be interested in reading about. You may not receive your preferred topic.
> 1.        The stock market
> 2.        Wages and income
> 3.        Unemployment
> 
> The first option (the stock market) is selected."
"AnsonBRIEF60","Treatment group 1","economy_positivity",1,56,2,"> Please read the short new article below.
> 
> WASHINGTON --- Stocks were up last week, lending further evidence that the markets are headed for even stronger gains. The Dow Jones rallied substantially in the past quarter, as investors displayed a growing appetite for risk and a striking lack of concern about any reversal of fortune. ``Today's report continues to signal a solid investing environment that is likely to maintain its bullishness,"" said Omair Sharif, senior economist at RBS in Stamford, Connecticut."
"AnsonBRIEF60","Treatment group 1","economy_positivity",1,56,3,"> Would you say that in the past year, the U.S. ECONOMY has gotten better, stayed the same, or gotten worse?
> Please choose a number from 1 (Much worse) to 5 (Much better)

Participant X chooses: '"
"AnsonBRIEF60","Treatment group 1","economy_positivity",2,64,1,"> We’ll ask you about a variety of topics in this survey.
> In a moment, we’d like you to read a short news article. Please indicate which of the following you would be interested in reading about. You may not receive your preferred topic.
> 1.        The stock market
> 2.        Wages and income
> 3.        Unemployment
> 
> The first option (the stock market) is selected."
"AnsonBRIEF60","Treatment group 1","economy_positivity",2,64,2,"> Please read the short new article below.
> 
> WASHINGTON --- Stocks were up last week, lending further evidence that the markets are headed for even stronger gains. The Dow Jones rallied substantially in the past quarter, as investors displayed a growing appetite for risk and a striking lack of concern about any reversal of fortune. ``Today's report continues to signal a solid investing environment that is likely to maintain its bullishness,"" said Omair Sharif, senior economist at RBS in Stamford, Connecticut."
"AnsonBRIEF60","Treatment group 1","economy_positivity",2,64,3,"> Would you say that in the past year, the U.S. ECONOMY has gotten better, stayed the same, or gotten worse?
> Please choose a number from 1 (Much worse) to 5 (Much better)

You choose: '"
"AnsonBRIEF60","Control group 1","economy_positivity",1,56,1,"> We’ll ask you about a variety of topics in this survey.
> In a moment, we’d like you to read a short news article. Please indicate which of the following you would be interested in reading about. You may not receive your preferred topic.
> 1.        The stock market
> 2.        Wages and income
> 3.        Unemployment
> 
> The first option (the stock market) is selected."
"AnsonBRIEF60","Control group 1","economy_positivity",1,56,2,"> Please read the short new article below.
> 
> NEW YORK--- Verizon once again has bragging rights in the wireless industry.
> The carrier took top honors in a new ranking of nationwide network performance by market research firm RootMetrics. Verizon ranked number one for reliability, speed, call and data performance, with AT&T a close second in all those categories. Those two firms held a significant advantage over third-ranked T-Mobile and fourth-ranked Sprint. RootMetrics conducted the study through the use of national surveys."
"AnsonBRIEF60","Control group 1","economy_positivity",1,56,3,"> Would you say that in the past year, the U.S. ECONOMY has gotten better, stayed the same, or gotten worse?
> Please choose a number from 1 (Much worse) to 5 (Much better)

Participant X chooses: '"
"AnsonBRIEF60","Control group 1","economy_positivity",2,64,1,"> We’ll ask you about a variety of topics in this survey.
> In a moment, we’d like you to read a short news article. Please indicate which of the following you would be interested in reading about. You may not receive your preferred topic.
> 1.        The stock market
> 2.        Wages and income
> 3.        Unemployment
> 
> The first option (the stock market) is selected."
